ts,open,high,low,close,volume,symbol,timeframe
2024-01-01T00:00:00Z,100.0,102.0,99.0,101.0,1000,TEST,1d
2024-01-02T00:00:00Z,101.0,103.0,100.0,102.5,1000,TEST,1d
2024-01-03T00:00:00Z,102.5,105.0,102.0,104.0,1000,TEST,1d
2024-01-04T00:00:00Z,104.0,107.0,103.5,106.0,1000,TEST,1d
2024-01-05T00:00:00Z,106.0,109.0,105.5,108.0,1000,TEST,1d
2024-01-08T00:00:00Z,108.0,111.0,107.5,110.0,1000,TEST,1d
2024-01-09T00:00:00Z,110.0,113.0,109.0,112.0,1000,TEST,1d
2024-01-10T00:00:00Z,112.0,115.0,111.0,114.0,1000,TEST,1d
2024-01-11T00:00:00Z,114.0,117.0,113.5,116.0,1000,TEST,1d
2024-01-12T00:00:00Z,116.0,119.0,115.0,118.0,1000,TEST,1d
2024-01-15T00:00:00Z,118.0,121.0,117.0,120.0,1000,TEST,1d
2024-01-16T00:00:00Z,120.0,123.0,119.0,122.0,1000,TEST,1d
2024-01-17T00:00:00Z,122.0,125.0,121.0,124.0,1000,TEST,1d
2024-01-18T00:00:00Z,124.0,127.0,123.0,126.0,1000,TEST,1d
2024-01-19T00:00:00Z,126.0,129.0,125.0,128.0,1000,TEST,1d
2024-01-22T00:00:00Z,128.0,131.0,127.0,130.0,1000,TEST,1d
2024-01-23T00:00:00Z,130.0,133.0,129.0,132.0,1000,TEST,1d
2024-01-24T00:00:00Z,132.0,135.0,131.0,134.0,1000,TEST,1d
2024-01-25T00:00:00Z,134.0,137.0,133.0,136.0,1000,TEST,1d
2024-01-26T00:00:00Z,136.0,138.0,135.0,137.0,1000,TEST,1d
2024-01-29T00:00:00Z,137.0,139.0,136.0,138.0,1000,TEST,1d
2024-01-30T00:00:00Z,138.0,140.0,137.0,139.0,1000,TEST,1d
2024-01-31T00:00:00Z,139.0,141.0,138.0,140.0,1000,TEST,1d
2024-02-01T00:00:00Z,140.0,142.0,139.0,141.0,1000,TEST,1d
2024-02-02T00:00:00Z,141.0,142.5,140.0,141.5,1000,TEST,1d
2024-02-05T00:00:00Z,141.5,143.0,140.0,140.5,1000,TEST,1d
2024-02-06T00:00:00Z,140.5,141.0,138.0,138.5,1000,TEST,1d
2024-02-07T00:00:00Z,138.5,139.0,136.0,136.5,1000,TEST,1d
2024-02-08T00:00:00Z,136.5,137.0,134.0,134.5,1000,TEST,1d
2024-02-09T00:00:00Z,134.5,135.0,132.0,132.5,1000,TEST,1d
2024-02-12T00:00:00Z,132.5,133.0,130.0,130.5,1000,TEST,1d
2024-02-13T00:00:00Z,130.5,131.0,128.0,128.5,1000,TEST,1d
2024-02-14T00:00:00Z,128.5,129.0,126.0,126.5,1000,TEST,1d
2024-02-15T00:00:00Z,126.5,127.0,124.0,124.5,1000,TEST,1d
2024-02-16T00:00:00Z,124.5,125.0,122.0,122.5,1000,TEST,1d
2024-02-19T00:00:00Z,122.5,123.0,120.0,120.5,1000,TEST,1d
2024-02-20T00:00:00Z,120.5,121.0,118.0,118.5,1000,TEST,1d
2024-02-21T00:00:00Z,118.5,119.0,116.0,116.5,1000,TEST,1d
2024-02-22T00:00:00Z,116.5,117.0,114.0,114.5,1000,TEST,1d
2024-02-23T00:00:00Z,114.5,115.0,112.0,112.5,1000,TEST,1d
2024-02-26T00:00:00Z,112.5,113.0,110.0,110.5,1000,TEST,1d
2024-02-27T00:00:00Z,110.5,111.0,108.0,108.5,1000,TEST,1d
2024-02-28T00:00:00Z,108.5,109.0,106.0,106.5,1000,TEST,1d
2024-02-29T00:00:00Z,106.5,107.0,104.0,104.5,1000,TEST,1d
2024-03-01T00:00:00Z,104.5,105.0,102.0,102.5,1000,TEST,1d
2024-03-04T00:00:00Z,102.5,103.0,100.0,100.5,1000,TEST,1d
2024-03-05T00:00:00Z,100.5,101.0,98.0,98.5,1000,TEST,1d
2024-03-06T00:00:00Z,98.5,99.0,96.0,96.5,1000,TEST,1d
2024-03-07T00:00:00Z,96.5,97.0,94.0,94.5,1000,TEST,1d
2024-03-08T00:00:00Z,94.5,95.0,92.0,92.5,1000,TEST,1d
