ts,open,high,low,close,volume,symbol,timeframe
2024-01-01T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-02T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-03T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-04T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-05T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-06T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-07T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-08T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-09T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-10T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-11T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-12T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-13T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-14T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-15T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-16T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-17T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-18T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-19T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-20T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-21T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-22T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-23T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-24T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-25T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-26T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-27T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-28T00:00:00Z,100.0,101.0,99.0,100.0,1000,TEST,1d
2024-01-29T00:00:00Z,100.0,105.0,99.0,105.0,1000,TEST,1d
2024-01-30T00:00:00Z,105.0,110.0,104.0,110.0,1000,TEST,1d
2024-01-31T00:00:00Z,110.0,115.0,109.0,115.0,1000,TEST,1d
2024-02-01T00:00:00Z,115.0,120.0,114.0,120.0,1000,TEST,1d
2024-02-02T00:00:00Z,120.0,125.0,119.0,125.0,1000,TEST,1d
2024-02-03T00:00:00Z,125.0,130.0,124.0,130.0,1000,TEST,1d
2024-02-04T00:00:00Z,130.0,135.0,129.0,135.0,1000,TEST,1d
2024-02-05T00:00:00Z,135.0,140.0,134.0,140.0,1000,TEST,1d
2024-02-06T00:00:00Z,140.0,141.0,135.0,136.0,1000,TEST,1d
2024-02-07T00:00:00Z,136.0,137.0,130.0,131.0,1000,TEST,1d
2024-02-08T00:00:00Z,131.0,132.0,125.0,126.0,1000,TEST,1d
2024-02-09T00:00:00Z,126.0,127.0,120.0,121.0,1000,TEST,1d
2024-02-10T00:00:00Z,121.0,122.0,115.0,116.0,1000,TEST,1d
2024-02-11T00:00:00Z,116.0,117.0,110.0,111.0,1000,TEST,1d
2024-02-12T00:00:00Z,111.0,112.0,105.0,106.0,1000,TEST,1d
2024-02-13T00:00:00Z,106.0,107.0,100.0,101.0,1000,TEST,1d
2024-02-14T00:00:00Z,101.0,102.0,95.0,96.0,1000,TEST,1d
2024-02-15T00:00:00Z,96.0,97.0,90.0,91.0,1000,TEST,1d
2024-02-16T00:00:00Z,91.0,92.0,85.0,86.0,1000,TEST,1d
2024-02-17T00:00:00Z,86.0,87.0,80.0,81.0,1000,TEST,1d
2024-02-18T00:00:00Z,81.0,82.0,75.0,76.0,1000,TEST,1d
2024-02-19T00:00:00Z,76.0,77.0,70.0,71.0,1000,TEST,1d
2024-02-20T00:00:00Z,71.0,72.0,65.0,66.0,1000,TEST,1d
2024-02-21T00:00:00Z,66.0,67.0,60.0,61.0,1000,TEST,1d
2024-02-22T00:00:00Z,61.0,62.0,55.0,56.0,1000,TEST,1d
2024-02-23T00:00:00Z,56.0,57.0,50.0,51.0,1000,TEST,1d
2024-02-24T00:00:00Z,51.0,52.0,45.0,46.0,1000,TEST,1d
